state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence,source_folder
AL,Anniston Star,100050,1958,AL,AMENDMENT,2,FITE AMENDMENT - MARION COUNTY POWERS FOR SCHOOLS AND OTHER IMPROVEMENTS,0,OPPOSED. EDITORIAL SAYS IT SHOULD BE VOTED DOWN. PROPOSED HAS BEEN DEFEATED IN FOUR DIFFERENT STATEWIDE REFERENDA WITHIN THREE YEARS. REPRESENTATIVE RANKIN FITE WAS TURNED OUT OF OFFICE BY MARION COUNTY VOTERS OVER THIS ISSUE.,0.9,Anniston Star
AL,Anniston Star,100050,1958,AL,AMENDMENT,3,AUTHORIZE MONTGOMERY COUNTY TO LEVY ADDITIONAL 5.5 MILLS AD VALOREM TAX FOR SCHOOL PURPOSES,1,ENDORSED. PAPER RECOMMENDS A YES VOTE.,0.9,Anniston Star
AL,Anniston Star,100050,1960,AL,AMENDMENT,1,BRING MORE MORTGAGE MONEY INTO ALABAMA BY ALLOWING OUT-OF-STATE CORPORATIONS TO INVEST,1,ENDORSED. COULD BRING AS MUCH AS $10 MILLION IN NEW MORTGAGE MONEY. WOULD INCREASE COMPETITION IN MORTGAGE FIELD.,0.9,Anniston Star
AL,Anniston Star,100050,1960,AL,AMENDMENT,2,AUTHORIZE TOWN OF UNIONTOWN TO DEAL IN REAL ESTATE AND CONSTRUCTION TO ATTRACT INDUSTRY,0,OPPOSED. EDITORIAL QUESTIONS THE END THAT WOULD BE SERVED. CONCERNED ABOUT LOCAL GOVERNMENT ENGAGING IN ACTIVITIES THAT SHOULD BE LEFT TO PRIVATE ENTERPRISE.,0.85,Anniston Star
AL,Anniston Star,100050,1960,AL,AMENDMENT,3,LOCAL GROWTH OPPORTUNITIES,1,ENDORSED. BESPEAKS EXTENDED OPPORTUNITIES FOR LOCAL GROWTH WHERE ENDORSED BY LOCAL AUTHORITY.,0.85,Anniston Star
AL,Anniston Star,100050,1960,AL,AMENDMENT,4,LOCAL GROWTH OPPORTUNITIES,1,ENDORSED ALONGSIDE AMENDMENT 3.,0.85,Anniston Star
AL,Anniston Star,100050,1960,AL,AMENDMENT,5,ROANOKE SCHOOL DISTRICT FIVE-MILL PROPERTY TAX INCREASE FOR SCHOOL PURPOSES,1,ENDORSED WITH 'UNQUALIFIED ENDORSEMENT.' ROANOKE NEEDS NEW HIGH SCHOOL BUILDING TO REPLACE CONDEMNED 50-YEAR-OLD STRUCTURE.,0.9,Anniston Star
AL,Anniston Star,100050,1962,AL,AMENDMENT,1,REDUCE RESIDENCY REQUIREMENT FOR VOTING IN ALABAMA ELECTIONS FROM TWO YEARS TO ONE YEAR IN STATE AND SIX MONTHS IN COUNTY,1,ENDORSED. MODIFIES STATEWIDE STATUTE TO ATTUNE VOTING REQUIREMENTS TO A MOBILE AGE.,0.95,Anniston Star
AL,Anniston Star,100050,1962,AL,AMENDMENT,2,ALLOW COUNTY GOVERNING BODIES TO TRANSFER SURPLUS ROAD AND BRIDGE FUND REVENUE TO GENERAL FUND,1,ENDORSED. MANY COUNTIES HAVE SERIOUS FINANCIAL PROBLEMS AND CANNOT USE SURPLUS FROM EARMARKED TAX FOR OTHER PURPOSES UNDER PRESENT LAW.,0.95,Anniston Star
AL,Anniston Star,100050,1962,AL,AMENDMENT,3,MOUNTAIN BROOK - SPECIAL ELECTION TO DETERMINE IF ADDITIONAL PROPERTY TAX SHALL BE IMPOSED,1,ENDORSED AS PART OF 'YES ON ALL FIVE' RECOMMENDATION.,0.95,Anniston Star
AL,Anniston Star,100050,1962,AL,AMENDMENT,4,DEKALB COUNTY - AUTHORIZE BOARD OF EDUCATION TO SELL INTEREST-BEARING WARRANTS TO PAY SCHOOL DEBTS FROM PRORATION,1,ENDORSED. DOES NOT PROVIDE ANY NEW TAX.,0.95,Anniston Star
AL,Anniston Star,100050,1962,AL,AMENDMENT,5,FRANKLIN COUNTY AND RUSSELLVILLE - REFERENDUM ON ADDITIONAL PROPERTY TAX FOR PUBLIC SCHOOLS,1,ENDORSED. 'AS WE HOPE IT WILL BE ALONG WITH THE OTHER FOUR.',0.95,Anniston Star
AL,Anniston Star,100050,1964,AL,AMENDMENT,,ALL PROPOSED CONSTITUTIONAL AMENDMENTS ON NOV 3 BALLOT,0,"OPPOSED ALL AMENDMENTS. EDITORIAL TITLED 'AMENDMENTS CONCERN US.' OBJECTS ON PRINCIPLE THAT AMENDMENTS AFFECT ONLY SINGLE COUNTIES BUT REQUIRE STATEWIDE RATIFICATION, DENYING LOCAL VOTERS THE RIGHT TO DECIDE. USES AMENDMENT 2 (ESCAMBIA COUNTY FEE SYSTEM TO SALARIES) AS EXAMPLE OF MIXED FEELINGS BUT CONCLUDES AGAINST ALL.",0.95,Anniston Star
AL,Anniston Star,100050,1966,AL,AMENDMENT,5,COVINGTON COUNTY - STATEWIDE VOTE ON LOCAL ISSUE,0,OPPOSED. OBJECTS THAT STATEWIDE VOTERS MUST DECIDE LOCAL COVINGTON COUNTY ISSUE WITHOUT LOCAL REFERENDUM.,0.8,Anniston Star
AL,Anniston Star,100050,1970,AL,TAX,,EDUCATION TAX AMENDMENT - INCOME TAX INCREASE FOR EDUCATION FUNDING,1,"STRONGLY ENDORSED. EDITORIAL TITLED 'A FAIR TAX, AT LAST!' CALLS IT FAIREST REVENUE MEASURE ALABAMA HAS SEEN IN AT LEAST A DECADE. AIMED AT TOP 11 PERCENT OF EARNERS. WOULD FUND JACKSONVILLE STATE UNIVERSITY AND LOCAL TRADE SCHOOLS.",0.95,Anniston Star
AL,Anniston Star,100050,1972,AL,AMENDMENT,1,"LEGISLATIVE REFORM - ANNUAL SESSIONS, STAFF SUPPORT, INDEPENDENT PAY COMMISSION FOR LEGISLATOR SALARIES",1,ENDORSED. 'WE SUPPORT AMENDMENT NO. 1 BECAUSE IT IS A SMALL STEP IN THE DIRECTION OF A MORE EFFECTIVE LEGISLATURE.' OPPOSES ASSOCIATED INDUSTRIES OF ALABAMA LOBBYISTS WHO ARE AGAINST IT.,0.95,Anniston Star
AL,Anniston Star,100050,1974,AL,REFERENDUM,,LIQUOR REFERENDUM - WHETHER TO PERMIT LEGAL SALES AND CONSUMPTION OF LIQUOR BY INDIVIDUAL SERVINGS (BY THE DRINK) INSTEAD OF BY THE BOTTLE ONLY,1,ENDORSED YES VOTE. 'WE BELIEVE DEEPLY THAT A YES VOTE TUESDAY WILL MEAN ONLY A VOTE TO PERMIT LEGAL SALES AND CONSUMPTION BY INDIVIDUAL SERVINGS INSTEAD OF BY THE LARGE BOTTLES.' ARGUES IT WOULD GENERATE NEEDED TAX REVENUE FOR CITY AND COUNTY.,0.9,Anniston Star
AL,Anniston Star,100050,1976,AL,AMENDMENT,,PERSONALIZED AUTOMOBILE TAGS - ALLOWING PURCHASE OF PERSONALIZED LICENSE PLATES AT EXTRA COST ($13.50 PLUS $10),0,RECOMMENDS NO VOTE. 'ONE AMENDMENT.' QUESTIONS WHY IT TAKES A CONSTITUTIONAL AMENDMENT FOR SOMETHING THE LEGISLATURE SHOULD BE ABLE TO DO AS A MATTER OF COURSE.,0.9,Anniston Star
AL,Anniston Star,100050,1978,AL,AMENDMENT,1,"PROPERTY TAX REFORM - AD VALOREM TAX RESTRUCTURING WITH ASSESSMENT RATES ON UTILITIES AT 30 PERCENT, BUSINESS AND NONRESIDENTIAL PROPERTY AT 30 PERCENT, AND FARM, FOREST AND RESIDENTIAL PROPERTY AT 10 PERCENT",0,RECOMMENDS NO. 'THE PROPERTY TAX BILL. THE ALABAMA LEGISLATURE HAS BEEN WRESTLING - AND LOSING - WITH A FAIR AD VALOREM TAX FOR YEARS.' LAW IS SO COMPLICATED AND VERBIAGE-ENCUMBERED EVEN ITS AUTHORS DON'T REALLY KNOW HOW IT WILL AFFECT ALABAMA TAXPAYERS. SHOULD BE SENT BACK TO LEGISLATURE FOR REWRITING.,0.9,Anniston Star
AL,Anniston Star,100050,1978,AL,AMENDMENT,2,PRISON CONSTRUCTION BOND ISSUE - $25 MILLION FOR PRISON CONSTRUCTION,1,RECOMMENDS YES. ALABAMA PRISON SYSTEM NEEDS BROAD REFORMS AND IMPROVEMENTS. OVERCROWDING IS THE MOST SERIOUS ISSUE. CONSTRUCTION IS NEEDED AND VOTING THE MONEY WILL ENSURE ANOTHER AVENUE FOR JUSTICE ON THE PART OF THE BOARD OF CORRECTIONS.,0.9,Anniston Star
AL,Anniston Star,100050,1978,AL,AMENDMENT,3,MUNICIPALITIES RELIEF ACT - SYSTEM OF EIGHT POPULATION CATEGORIES FOR MUNICIPALITIES WITH PROVISIONS FOR CHANGE UNDER APPROPRIATE POPULATION BRACKET,1,RECOMMENDS YES. SUPREME COURT KNOCKED DOWN GENERAL BILLS OF LOCAL APPLICATION. LEGISLATURE PROPOSES TO PROVIDE RELIEF BY A SYSTEM OF EIGHT POPULATION CATEGORIES FOR MUNICIPALITIES.,0.85,Anniston Star
AL,Anniston Star,100050,1978,AL,AMENDMENT,4,ANNISTON INDUSTRIAL DEVELOPMENT PROPOSITION,1,RECOMMENDS YES.,0.85,Anniston Star
AL,Anniston Star,100050,1978,AL,AMENDMENT,5,"COFFEE COUNTY - COMBINE OFFICES OF TAX ASSESSOR AND COLLECTOR INTO ONE JOB, REMOVE COMMISSIONER, AND ELECT LESS BEGINNING IN 1986",1,RECOMMENDS YES.,0.85,Anniston Star
AL,Anniston Star,100050,1978,AL,AMENDMENT,6,MADISON COUNTY - ALLOW CREATION AND FUNDING OF FIRE DISTRICTS,1,RECOMMENDS YES.,0.85,Anniston Star
AL,Anniston Star,100050,1978,AL,AMENDMENT,7,MONTGOMERY COUNTY - SAME AS MADISON COUNTY FIRE DISTRICTS,1,RECOMMENDS YES. SAME RECOMMENDATION AS NO. 6.,0.85,Anniston Star
AL,Anniston Star,100050,1978,AL,AMENDMENT,8,RUSSELL COUNTY - TAKE PROBATE JUDGE AND OTHER OFFICERS OFF FEE SYSTEM AND PUT ON STRAIGHT SALARY,1,RECOMMENDS YES.,0.85,Anniston Star
AL,Anniston Star,100050,1978,AL,AMENDMENT,9,RUSSELL COUNTY - ALLOW CREATION AND FUNDING OF FIRE DISTRICTS,1,RECOMMENDS YES.,0.85,Anniston Star
AL,Anniston Star,100050,1980,AL,AMENDMENT,1,"FARMER SELF-ASSESSMENT - ALLOW PEANUT, DAIRY AND COTTON FARMERS TO LEVY ASSESSMENTS ON THEMSELVES FOR FUNDS TO DEVELOP PROGRAMS FOR RESEARCH, EDUCATION AND PROMOTION OF THEIR PRODUCTS",1,"RECOMMENDS YES. THIS KIND OF PROGRAM HAS WORKED WELL FOR BEEF, PORK AND POULTRY FARMERS. ASSESSMENTS WOULD BE VOTED BY FARMERS THEMSELVES THROUGH SPECIAL REFERENDUM AND ADMINISTERED BY NONPROFIT ORGANIZATIONS.",0.9,Anniston Star
AL,Anniston Star,100050,1980,AL,AMENDMENT,2,"LOCAL LEGISLATION VALIDATION - PROVIDE THAT ALL GENERAL LEGISLATION OF LOCAL APPLICATION ENACTED BEFORE JAN. 13, 1976 SHALL NOT BE DECLARED INVALID",1,RECOMMENDS YES. WOULD AVOID THE RISK OF LEGAL CHALLENGE TO ALL LOCAL LAWS ENACTED BEFORE THE SUPREME COURT RULING. WOULD AVOID A RETROACTIVE APPLICATION OF THAT RULING.,0.9,Anniston Star
AL,Anniston Star,100050,1980,AL,AMENDMENT,3,ALIMONY REVIEW - PERMIT LEGISLATURE TO ADOPT MEASURE PROVIDING THAT ALIMONY SHALL BE REVIEWED WHEN SPOUSE RECEIVING ALIMONY REMARRIES OR LIVES OPENLY WITH MEMBER OF OPPOSITE SEX,1,RECOMMENDS YES. WOULD RECTIFY AN ARCHAIC PART OF THE CONSTITUTION AND PERMIT LEGISLATURE TO MODERNIZE DIVORCE LAWS. NO EQUITY IN A LAW THAT REQUIRES A MAN TO PAY ALIMONY TO A FORMER WIFE WHO HAS REMARRIED.,0.9,Anniston Star
AL,Anniston Star,100050,1980,AL,AMENDMENT,4,ESCAMBIA COUNTY - PERMIT LEGISLATURE WITH VOTER APPROVAL TO SET COURT CHARGES AND COMPENSATION FOR COUNTY OFFICIALS,1,"RECOMMENDS YES. MATTER WOULD BE IN THE HANDS OF THE VOTERS OF ESCAMBIA COUNTY, WHICH IS WHERE IT BELONGS.",0.9,Anniston Star
AL,Anniston Star,100050,1980,AL,AMENDMENT,5,LEE COUNTY - ALLOW LEE COUNTY COMMISSION TO SET UP FIREFIGHTING DISTRICTS WITH VOLUNTEER FIRE DEPARTMENTS AND ALLOW EXPENDITURE OF COUNTY FUNDS TO SUPPORT THEM,1,RECOMMENDS YES. THE AFFECTED COUNTY GOVERNMENT WOULD BE GIVEN THE AUTHORITY.,0.9,Anniston Star
AL,Anniston Star,100050,1980,AL,AMENDMENT,6,MOBILE COUNTY - PERMIT REALLOCATION OF 3.1 MILL PROPERTY TAX NOW EARMARKED FOR MOSQUITO CONTROL TO BE USED FOR OTHER HEALTH PURPOSES,1,RECOMMENDS YES. CHANGE IS BEING SOUGHT BY THE ELECTED COUNTY COMMISSION IN MOBILE COUNTY AND SEEMS REASONABLE.,0.9,Anniston Star
AL,Anniston Star,100050,1980,AL,AMENDMENT,7,SUMTER COUNTY - ALLOW LEGISLATURE TO SET COSTS AND CHARGES OF COURTS AND DISTRIBUTE FUNDS,1,RECOMMENDS YES. THIS AUTHORITY SHOULD BE DELEGATED TO LOCAL COUNTY AUTHORITIES IF A CHANGE IS NEEDED.,0.9,Anniston Star
AL,Anniston Star,100050,1982,AL,AMENDMENT,1,LOCAL AMENDMENT REFORM - MAKE IT UNNECESSARY TO HOLD STATEWIDE BALLOTING ON MOST LOCAL CONSTITUTIONAL AMENDMENTS,1,RECOMMENDS YES. 'THIS IS AN IMPORTANT AMENDMENT.' WILL BE DISCUSSED IN MORE DEPTH EDITORIALLY IN TOMORROW'S EDITION.,0.9,Anniston Star
AL,Anniston Star,100050,1982,AL,AMENDMENT,10,"GREENE COUNTY - SHERIFF AND CLERK OF CIRCUIT COURT REMOVED FROM CONSTITUTIONAL SALARY SCALE, PAY SET BY LEGISLATURE, REQUIRES VOTER APPROVAL",1,RECOMMENDS YES. MUST BE APPROVED BY GREENE COUNTY VOTERS.,0.9,Anniston Star
AL,Anniston Star,100050,1982,AL,AMENDMENT,11,"WILCOX COUNTY - EXEMPT COUNTY FROM CONSTITUTIONAL SCALE OF COURT COSTS, COSTS SET BY LEGISLATURE, REQUIRES VOTER APPROVAL",1,RECOMMENDS YES. MUST BE APPROVED BY WILCOX COUNTY VOTERS.,0.9,Anniston Star
AL,Anniston Star,100050,1982,AL,AMENDMENT,2,JUDICIAL PAY RAISES - REQUIRE BOTH HOUSES OF LEGISLATURE TO APPROVE PAY RAISES FOR STATE JUDGES PROPOSED BY JUDICIAL COMPENSATION COMMISSION,1,RECOMMENDS YES. JUDICIAL PAY INCREASES SHOULD REQUIRE APPROVAL OF THE LEGISLATURE.,0.9,Anniston Star
AL,Anniston Star,100050,1982,AL,AMENDMENT,3,LEGISLATURE MEETING PLACE - PERMIT LEGISLATURE TO CONVENE IN ANOTHER MEETING PLACE DURING PLANNED REPAIRS TO THE CAPITOL BUILDING,1,RECOMMENDS YES.,0.9,Anniston Star
AL,Anniston Star,100050,1982,AL,AMENDMENT,4,POULTRY INDUSTRY TAX - AUTHORIZE RAISING POULTRY MARKETING AND PROMOTION TAX FROM 1 CENT TO 1.5 CENTS PER BIRD,1,RECOMMENDS YES. SHOULD HAVE NO EFFECT ON CONSUMER PRICES AND WOULD HELP THE POULTRY INDUSTRY.,0.9,Anniston Star
AL,Anniston Star,100050,1982,AL,AMENDMENT,5,"INDUSTRIAL DEVELOPMENT BOARDS - AUTHORIZE ESTABLISHMENT IN TALLADEGA, ETOWAH, COOSA AND 18 OTHER COUNTIES, ALLOW COUNTY GOVERNMENTS TO NEGOTIATE PRICES OF INDUSTRIAL PROPERTIES WITH PROSPECTIVE BUYERS",1,RECOMMENDS YES. EFFECTIVE ONLY IF APPROVED BY VOTERS IN THE SEVERAL COUNTIES.,0.9,Anniston Star
AL,Anniston Star,100050,1982,AL,AMENDMENT,6,BLOUNT COUNTY - COMBINE OFFICES OF TAX COLLECTOR AND TAX ASSESSOR WITHOUT REQUIRING APPROVAL OF BLOUNT COUNTY VOTERS,0,RECOMMENDS NO. DOES NOT REQUIRE APPROVAL OF BLOUNT COUNTY VOTERS.,0.85,Anniston Star
AL,Anniston Star,100050,1982,AL,AMENDMENT,7,BULLOCK COUNTY - REORGANIZE COUNTY DEVELOPMENT AUTHORITY AND REDUCE COUNTY SALES TAX FROM 8 CENTS TO 7 CENTS,1,"RECOMMENDS YES. ENDORSED BY BULLOCK COUNTY COMMISSION, BOARD OF EDUCATION, CHAMBER OF COMMERCE, AND OTHER LOCAL ORGANIZATIONS.",0.85,Anniston Star
AL,Anniston Star,100050,1982,AL,AMENDMENT,8,"BULLOCK COUNTY - RELATED TO AMENDMENT 7, COUNTY REORGANIZATION",1,RECOMMENDS YES. DISCUSSED TOGETHER WITH AMENDMENT 7.,0.8,Anniston Star
AL,Anniston Star,100050,1982,AL,AMENDMENT,9,ETOWAH COUNTY - AUTHORIZE COUNTY COMMISSION TO SET UP FIRE DISTRICTS FOR VOLUNTEER FIRE DEPARTMENTS,1,RECOMMENDS YES.,0.9,Anniston Star
AL,Anniston Star,100050,1984,AL,AMENDMENT,1,STATEWIDE AMENDMENT - CONSTITUTIONAL REFORM RELATED TO LEGISLATIVE AND GOVERNMENTAL PROCESSES,1,RECOMMENDS YES. 'THREE AMENDMENTS.' APPLIES TO THE ENTIRE STATE. PAPER DISCUSSES THE IMPORTANCE OF CONSTITUTIONAL REFORM.,0.7,Anniston Star
AL,Anniston Star,100050,1984,AL,AMENDMENT,2,LOCAL AMENDMENT - COUNTY-SPECIFIC CONSTITUTIONAL PROVISION,1,RECOMMENDS YES. LOCAL AMENDMENT DISCUSSED IN 'THREE AMENDMENTS' SECTION.,0.65,Anniston Star
AL,Anniston Star,100050,1984,AL,AMENDMENT,3,LOCAL OR STATEWIDE AMENDMENT - CONSTITUTIONAL PROVISION,1,RECOMMENDS YES. DISCUSSED IN 'THREE AMENDMENTS' SECTION.,0.65,Anniston Star
AL,Anniston Star,100050,1986,AL,AMENDMENT,MOBILE-COUNTY,MOBILE COUNTY - ISSUE BONDS FOR COURTHOUSE/JAIL REPAIR AND LAND PURCHASE,1,1986-OCT-29 Anniston Star multi-section endorsement editorial — OCR-recovered at 600dpi (Phase 3). Recommended yes.,0.9,Anniston Star
AL,Anniston Star,100050,1988,AL,AMENDMENT,1,ALABAMA HERITAGE TRUST FUND INVESTMENT OF OIL/GAS LEASE WINDFALLS,1,1988-NOV-07 'The Anniston Star Choices...' — OCR-recovered at 600dpi from clipping (Phase 3 re-extraction).,0.92,Anniston Star
AL,Anniston Star,100050,1988,AL,AMENDMENT,2,BONDING AUTHORITY FOR ALABAMA MUSIC HALL OF FAME BOARD UNDER ETHICS/BID LAW,1,1988-NOV-07 'The Anniston Star Choices...' — OCR-recovered at 600dpi from clipping (Phase 3 re-extraction).,0.92,Anniston Star
AL,Anniston Star,100050,1988,AL,AMENDMENT,3,MARION COUNTY WATER WORKS - CONDEMNATION AND RIGHT TO INCUR DEBT,1,1988-NOV-07 'The Anniston Star Choices...' — OCR-recovered at 600dpi from clipping (Phase 3 re-extraction).,0.92,Anniston Star
AL,Anniston Star,100050,1988,AL,AMENDMENT,4,FORBID STATE TO MANDATE MUNICIPAL SPENDING BEFORE LOCAL MONIES EXIST,1,1988-NOV-07 'The Anniston Star Choices...' — OCR-recovered at 600dpi from clipping (Phase 3 re-extraction).,0.92,Anniston Star
AL,Anniston Star,100050,1988,AL,AMENDMENT,5,CATFISH FARMERS SELF-ASSESSMENT FOR RESEARCH AND MARKETING,1,1988-NOV-07 'The Anniston Star Choices...' — OCR-recovered at 600dpi from clipping (Phase 3 re-extraction).,0.92,Anniston Star
AL,Anniston Star,100050,1988,AL,AMENDMENT,LOCAL-ANNISTON,"CITY OF ANNISTON - ONE-TIME $35,000 PAYMENT TO LOCAL CEREBRAL PALSY CENTER FOR LAND SWAP",1,1988-NOV-07 'The Anniston Star Choices...' — OCR-recovered at 600dpi from clipping (Phase 3 re-extraction). Local amendment for Anniston only.,0.92,Anniston Star
AL,Anniston Star,100050,1990,AL,AMENDMENT,1,STATE AMENDMENT 1 - CHEROKEE COUNTY SCHOOL FINANCING,1,Vote YES (1990-NOV-05 OCR recovery; replaces incorrect 'legislative reform' description).,0.92,Anniston Star
AL,Anniston Star,100050,1992,AL,AMENDMENT,1,STATEWIDE AMENDMENT 1 - 'FOREVER WILD' WILDLIFE REFUGES (NO TAXPAYER EXPENSE),1,Vote YES (1992-NOV-02 OCR recovery; replaces incorrect 'Hunt amendment' description; this is the Forever Wild conservation amendment).,0.92,Anniston Star
AL,Anniston Star,100050,1992,AL,AMENDMENT,2,STATEWIDE AMENDMENT 2 - PERMIT PELL CITY TO ELECT ITS SCHOOL BOARD,0,1992-NOV-02 Anniston Star recap — OCR-recovered at 600dpi from clipping (Phase 3). Vote NO — better trend toward de-politicizing education.,0.9,Anniston Star
AL,Anniston Star,100050,1992,AL,AMENDMENT,CALHOUN-3,CALHOUN COUNTY AMENDMENT - 5 MILL TAX FOR EMS AND VOLUNTEER FIRE PROTECTION (RURAL),1,1992-NOV-02 Anniston Star recap — OCR-recovered at 600dpi from clipping (Phase 3). Vote YES in all fairness.,0.92,Anniston Star
AL,Anniston Star,100050,1996,AL,AMENDMENT,1,RIGHT TO HUNT AND FISH IN ALABAMA (CONSTITUTIONAL),1,"1996-NOV-04 'A roundup of our choices for national, state offices' — OCR-recovered at 600dpi from clipping (Phase 3 re-extraction). ""Reluctant yes"" - overkill but symbolic.",0.85,Anniston Star
AL,Anniston Star,100050,1996,AL,AMENDMENT,2,REPLACE SUPERNUMERARY JUDGE SYSTEM WITH STATE RETIREMENT PROGRAM,1,"1996-NOV-04 'A roundup of our choices for national, state offices' — OCR-recovered at 600dpi from clipping (Phase 3 re-extraction). Strong yes - $3M/year cost of current system.",0.92,Anniston Star
AL,Anniston Star,100050,1996,AL,AMENDMENT,3,CRIMINAL PROCEDURE - REDUCE FELONY PLEA WAITING PERIOD FROM 15 DAYS TO 1 DAY,1,"1996-NOV-04 'A roundup of our choices for national, state offices' — OCR-recovered at 600dpi from clipping (Phase 3 re-extraction). Modernizes 1939 statute.",0.92,Anniston Star
